"size","solution_terms","elpd","elpd.se","elpd.diff","elpd.diff.se","rmse","rmse.se","rmse.diff","rmse.diff.se","rho","n","loo_wts"
0,NA,-195.730895526562,6.10718078794903,-53.4296509508398,5.67067124482399,1.70084987690196,0.125828413280335,0.750612328116007,0.112586998121414,0.5,100,2.89600612719567e-26
1,"X.4",-178.789707755476,6.39334161196742,-36.4884631797541,5.57996674967225,1.4424155593284,0.100479733766327,0.492178010542447,0.0875729681565092,0.5,100,6.59574477730587e-19
2,"X.10",-162.433618065829,5.02201985446664,-20.1323734901071,4.34532497920116,1.20725572991635,0.0782006201789236,0.257018181130392,0.0659908044700514,0.5,100,8.36803214790193e-12
3,"X.1",-155.655759659952,4.49473414311569,-13.3545150842298,3.65736319945746,1.12369067574636,0.0673266866133524,0.173453126960405,0.0538882557879603,0.5,100,7.34868860323179e-09
4,"X.12",-149.757543823186,4.214053970104,-7.45629924746385,3.18842720041923,1.05180578536204,0.0631330336882048,0.101568236576086,0.0453330822198742,0.5,100,2.67776484574958e-06
5,"X.5",-144.930412494023,3.89831233329726,-2.62916791830086,2.94964104342792,0.988379274948931,0.0598592634828197,0.0381417261629738,0.0437555361434996,0.5,100,0.000334325063242508
6,"X.8",-144.17815721281,3.99867451783507,-1.87691263708745,2.63964633662899,0.987539215728923,0.0581472402904396,0.0373016669429657,0.0391400915591004,0.5,100,0.000709364177479642
7,"X.90",-144.397057739706,3.89596973727574,-2.09581316398411,2.76372651602557,0.993980493672056,0.0552630263407413,0.0437429448860989,0.0400727119882626,0.5,100,0.000569904337183119
8,"X.49",-144.497413415254,4.19003972869333,-2.19616883953146,2.86985342732904,0.998306413900126,0.058569921772357,0.0480688651141689,0.0400398145773326,0.5,100,0.000515487390114881
9,"X.56",-145.421423996166,4.62267180033707,-3.12017942044349,2.91849448698375,1.01225398324907,0.0636824108598743,0.0620164344631121,0.0401281968652873,0.5,100,0.000204609290537026
10,"X.2",-142.657581994031,4.47986668011689,-0.356337418308991,2.73443920767781,0.975547488142362,0.0632182800271521,0.0253099393564047,0.0380553905045982,0.5,100,0.00324523895040458
11,"X.13",-140.735296939355,4.25800514343465,1.56594763636684,2.18497049022171,0.951805691229994,0.0607053994409816,0.00156814244403725,0.0310074112459061,0.5,100,0.022186279085943
12,"X.7",-138.654543302059,4.1286325933827,3.64670127366345,1.95524944040127,0.924972329189276,0.059106681650727,-0.0252652195966814,0.0284597808855726,0.5,100,0.17772326969386
13,"X.63",-139.526324514335,4.30585191871465,2.77492006138761,1.77059760225918,0.936519998213791,0.0601213567975691,-0.0137175505721661,0.0255481896429755,0.5,100,0.0743249327170089
14,"X.81",-139.777580252774,4.42638035620491,2.52366432294792,1.7597691813641,0.941662955320509,0.0611673647816113,-0.00857459346544853,0.0247456526063739,0.5,100,0.0578116738605154
15,"X.3",-139.012918302066,4.33511276138189,3.28832627365616,1.77974317700793,0.932672214881771,0.0599530088452877,-0.0175653339041862,0.0246572716175855,0.5,100,0.124194970796595
16,"X.86",-139.582446884303,4.46425420312312,2.71879769141945,1.8803556820337,0.94045238261902,0.060823515590429,-0.00978516616693725,0.0251488203092368,0.5,100,0.0702685333720264
17,"X.32",-139.979542467734,4.48937991614259,2.32170210798781,1.97919645478867,0.945615909312917,0.060288573016126,-0.00462163947304051,0.0267907088207318,0.5,100,0.0472394103965614
18,"X.11",-138.681145324386,4.36305139810176,3.62009925133666,2.03336362790031,0.929088839562271,0.0593240601119566,-0.0211487092236866,0.028508790997555,0.5,100,0.173057801875129
19,"X.99",-139.705066768378,4.59623901914336,2.59617780734434,2.01080277143574,0.944245441631521,0.0615252977719938,-0.00599210715443588,0.0271612025365164,0.5,100,0.0621595340210026
20,"X.46",-139.700689922438,4.84286090618618,2.60055465328459,2.07952693821214,0.945448987918519,0.0650862130203333,-0.00478856086743795,0.0276360392405845,0.5,100,0.0624321929829931
21,"X.72",-140.211821761973,4.90895106899975,2.08942281374912,2.05431173578341,0.95245413471296,0.0657526540235359,0.00221658592700325,0.0266638241606862,0.5,100,0.0374478469126524
22,"X.30",-140.703314305904,4.98890982793565,1.59793026981818,2.04931530548279,0.959516421904643,0.0659085780783538,0.00927887311868592,0.0259418133703944,0.5,100,0.0229073237092149
23,"X.31",-141.155304892052,4.97161611431828,1.14593968367016,2.03114115025322,0.96651968210758,0.0649836462735113,0.0162821333216231,0.025571762767927,0.5,100,0.014577308187577
24,"X.57",-140.537755652719,4.92340624676137,1.76348892300362,2.12213420573384,0.959379777778598,0.0648390985850717,0.00914222899264083,0.0277788619167726,0.5,100,0.0270318371552345
25,"X.66",-140.787610551233,5.03415625748008,1.5136340244894,2.09704382116091,0.963079740319503,0.0657272261165772,0.0128421915335455,0.0266787247956132,0.5,100,0.0210554709028221
